start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
240e:361:861e:c400::,240e:361:861e:c4ff:ffff:ffff:ffff:ffff,240e:361:8000::,Hangzhou,Zhejiang,CN,30.29365,120.16142,310000,Asia/Shanghai
64.19.72.221,64.19.72.239,64.19.0.0,Watertown,New York,US,43.97478,-75.91076,13601,America/New_York
2400:2200:480:1300::,2400:2200:480:13ff:ffff:ffff:ffff:ffff,2400:2200::,Kawasaki,Kanagawa,JP,35.52056,139.71722,205-0021,Asia/Tokyo
96.34.44.153,96.34.44.153,96.34.0.0,Detroit,Michigan,US,42.33143,-83.04575,48226,America/Detroit
142.117.60.170,142.117.60.171,142.117.0.0,Montréal,Quebec,CA,45.50884,-73.58781,H3H,America/Toronto
2401:4900:33a2:7d00::,2401:4900:33a2:7dff:ffff:ffff:ffff:ffff,2401:4900::,Hyderābād,Telangana,IN,17.38405,78.45636,500001,Asia/Kolkata
76.117.46.9,76.117.46.15,76.117.0.0,Willingboro,New Jersey,US,40.02789,-74.86905,08046,America/New_York
2003:c9:af01:fe00::,2003:c9:af01:feff:ffff:ffff:ffff:ffff,2003:c9:8000::,Rhede,North Rhine-Westphalia,DE,51.83537,6.69602,46414,Europe/Berlin
2c06:30ed:c000::,2c06:30ed:ffff:ffff:ffff:ffff:ffff:ffff,2c06:30ed:c000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
2408:f002:8000::,2408:f002:bfff:ffff:ffff:ffff:ffff:ffff,2408:f002:8000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
182.191.151.88,182.191.151.103,182.191.0.0,Lahore,Punjab,PK,31.558,74.35071,54000,Asia/Karachi
182.71.81.148,182.71.81.155,182.71.0.0,New Delhi,Delhi,IN,28.54978,77.26512,110020,Asia/Kolkata
2c0d:e40f::,2c0d:e40f:3fff:ffff:ffff:ffff:ffff:ffff,2c0d:e40f::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
2405:204:332c:c600::,2405:204:332c:c6ff:ffff:ffff:ffff:ffff,2405:204::,Dādri,Uttar Pradesh,IN,28.55257,77.55403,203207,Asia/Kolkata
2400:c600:3440:b300::,2400:c600:3440:b7ff:ffff:ffff:ffff:ffff,2400:c600::,Pār Naogaon,Rajshahi Division,BD,24.80418,88.94875,6590,Asia/Dhaka
240e:351:66d0::,240e:351:66d0:ffff:ffff:ffff:ffff:ffff,240e:351:4000::,Foshan,Guangdong,CN,23.02677,113.13148,528000,Asia/Shanghai
